"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"000001","2016-04-21","2954.370","2990.673","2943.464","2952.891","1894068.49","20647712.69"
"000001","2016-04-22","2933.035","2960.209","2926.776","2959.240","1372116.68","14880043.08"
"000001","2016-04-25","2949.973","2954.092","2917.020","2946.670","1258562.43","14063875.63"
"000001","2016-04-26","2944.716","2965.429","2933.971","2964.700","1177116.04","13429245.87"
"000001","2016-04-27","2967.190","2976.022","2949.432","2953.671","1308676.40","15028630.15"
"000001","2016-04-28","2955.742","2959.512","2916.374","2945.589","1386632.74","15461469.90"
"000001","2016-04-29","2935.376","2950.576","2930.357","2938.324","1093106.28","12850273.22"
"000001","2016-05-03","2940.392","2993.535","2929.815","2992.643","1687036.43","19581660.48"
"000001","2016-05-04","2983.027","3004.418","2978.330","2991.272","1654071.06","18904637.49"
"000001","2016-05-05","2987.022","2999.118","2977.200","2997.842","1448313.83","16311377.64"
"000001","2016-05-06","2998.402","3003.590","2913.036","2913.248","2067964.98","23407743.40"
"000001","2016-05-09","2896.162","2896.162","2821.826","2832.113","1803783.30","18870568.57"
"000001","2016-05-10","2822.327","2845.238","2820.164","2832.591","1208293.10","12853526.61"
"000001","2016-05-11","2843.545","2857.254","2818.699","2837.037","1357954.66","14602252.19"
"000001","2016-05-12","2812.108","2839.276","2781.236","2835.862","1363376.55","14083863.09"
"000001","2016-05-13","2828.462","2850.093","2814.115","2827.109","1143197.10","12369264.69"
"000001","2016-05-16","2816.775","2851.229","2804.991","2850.862","1146535.92","12684429.91"
"000001","2016-05-17","2850.926","2860.321","2832.459","2843.684","1233690.64","14000099.79"
"000001","2016-05-18","2828.178","2828.255","2781.417","2807.514","1404878.26","14939682.09"
"000001","2016-05-19","2802.315","2829.402","2801.548","2806.906","1115950.71","12415105.22"
"000001","2016-05-20","2792.888","2825.952","2785.080","2825.483","1087008.99","12379459.23"
"000001","2016-05-23","2826.312","2848.071","2826.256","2843.645","1204704.55","13995036.51"
"000001","2016-05-24","2839.682","2839.695","2807.188","2821.666","1114524.45","12109605.88"
"000001","2016-05-25","2835.029","2843.165","2807.749","2815.086","1035272.65","11776762.87"
"000001","2016-05-26","2813.543","2827.092","2780.763","2822.443","1147667.97","12710518.33"
"000001","2016-05-27","2817.968","2832.799","2809.799","2821.046","1098458.23","12385886.46"
"000001","2016-05-30","2814.651","2830.970","2794.661","2822.451","1063195.89","11558747.93"
