"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"399001","2016-05-03","10144.153","10441.920","10105.799","10441.920","968484.14","15332072.26"
"399001","2016-05-04","10401.675","10498.315","10389.771","10422.802","932165.26","14704422.16"
"399001","2016-05-05","10403.550","10480.221","10372.216","10474.013","805724.47","12856956.78"
"399001","2016-05-06","10473.303","10501.435","10100.535","10100.535","1193074.30","18119218.42"
"399001","2016-05-09","10018.507","10018.507","9747.872","9790.477","955844.31","13539675.55"
"399001","2016-05-10","9770.303","9836.976","9738.518","9793.214","642081.69","9206378.71"
"399001","2016-05-11","9848.324","9904.531","9743.075","9781.150","725778.81","10880668.46"
"399001","2016-05-12","9664.280","9801.201","9544.123","9796.581","728738.26","10515756.86"
"399001","2016-05-13","9769.129","9880.694","9710.167","9759.267","649263.01","9644924.75"
"399001","2016-05-16","9729.793","9910.082","9690.329","9910.082","698168.55","10256662.91"
"399001","2016-05-17","9918.435","10007.382","9839.858","9908.791","840189.37","13101332.67"
"399001","2016-05-18","9835.581","9835.581","9591.176","9694.776","853628.81","11996002.44"
"399001","2016-05-19","9684.117","9847.215","9684.117","9733.736","748406.84","11215003.67"
"399001","2016-05-20","9657.745","9816.752","9628.984","9816.752","695269.98","10437435.42"
"399001","2016-05-23","9839.782","9937.829","9839.763","9918.164","771924.24","11780541.67"
"399001","2016-05-24","9903.170","9903.170","9765.654","9821.698","713417.42","10402639.88"
"399001","2016-05-25","9883.939","9930.807","9756.524","9784.597","704671.04","10736197.12"
"399001","2016-05-26","9766.081","9826.144","9605.447","9826.144","776255.35","11374781.56"
"399001","2016-05-27","9798.344","9878.741","9775.219","9813.631","765812.40","10822137.56"
"399001","2016-05-30","9756.874","9847.699","9681.240","9768.840","631375.64","9006250.96"
"399001","2016-05-31","9786.002","10159.934","9786.002","10159.934","1277167.19","18381237.52"
"399001","2016-06-01","10184.226","10284.360","10177.215","10209.142","1302135.06","19780389.34"
"399001","2016-06-02","10192.512","10274.025","10181.179","10274.025","1064564.77","15703335.18"
"399001","2016-06-03","10275.941","10412.948","10258.023","10344.908","1220293.88","19979594.29"
"399001","2016-06-06","10383.453","10403.805","10296.178","10363.085","989684.04","15957272.28"
"399001","2016-06-07","10365.814","10371.872","10297.415","10347.841","918981.98","14670191.72"
"399001","2016-06-08","10330.181","10372.978","10232.130","10316.823","948505.07","15582651.00"
"399001","2016-06-13","10190.781","10256.622","9862.584","9862.584","1103091.43","17219431.70"
"399001","2016-06-14","9830.551","9927.595","9795.936","9895.150","769405.35","11429998.30"
"399001","2016-06-15","9790.877","10215.610","9779.108","10173.846","1080790.32","16509176.71"
"399001","2016-06-16","10154.182","10199.522","10090.234","10115.122","1060985.25","16628935.91"
"399001","2016-06-17","10135.377","10261.965","10113.954","10182.526","1021835.64","15342126.17"
"399001","2016-06-20","10183.771","10241.907","10101.631","10221.852","877565.86","13097861.10"
"399001","2016-06-21","10285.042","10357.183","10093.152","10131.856","1097416.52","16459463.37"
"399001","2016-06-22","10108.958","10297.977","10104.883","10297.977","875543.90","12941883.54"
"399001","2016-06-23","10288.466","10312.614","10183.010","10255.268","976164.25","14563700.53"
"399001","2016-06-24","10235.045","10315.349","9901.900","10147.704","1266871.16","18258552.37"
"399001","2016-06-27","10090.053","10377.573","10090.053","10377.573","1091276.66","16477075.25"
"399001","2016-06-28","10330.121","10475.762","10309.230","10463.448","1236361.66","18917904.05"
"399001","2016-06-29","10499.907","10527.687","10434.235","10460.967","1138451.16","16938133.03"
"399001","2016-06-30","10474.935","10509.986","10435.529","10489.993","993245.21","15398936.37"
